chunom,translation
自今兒後謹察寃濫摘伏邪頑議論廟堂灼照黑白義之與比勿事滑󰏲大任仲寄朕尚須於卿一身耳,"tự kim nhi hậu, cẩn sát oan lạm, trích phục tà ngoan, nghị luận miếu đường chước chiếu hắc bạch, nghĩa chi dữ tỉ vật sự hoạt kê, đại nhiệm trọng, ký trẫm thượng tu ư khanh nhất thân nhĩ"
信霜吨𠰺賒𧵆𠮿敲,tin sương đồn đại xa gần xôn xao
秩拯兮謳,mất chẳng hề âu
𬟥𠄼𠀧吊吸肥𠴋,thuốc năm ba điếu hút phì phèo
𬷤㐌嘅創𡗶皮𠓇東,gà đà gáy sáng trời vừa rạng đông
東邉訛言明使來會勘邉𪽐,đông biên ngoa ngôn minh sứ lai hội khám biên giới
𥙩𫯳爫𫰣固干之,lấy chồng làm lẽ có can chi
誠犬彘之不若曾蜂蟻之不如,"thành khuyển trệ chi bất nhược, tằng phong nghị chi bất như"
芇滝油𦒹頭,nào sông dù sáu đầu
体蔑㝵襖帽極𡨧自称浪官大夫户石,"thấy một người áo mão cực tốt, tự xưng rằng quan đại phu họ thạch"
户胡卞倍傍怯納𢀦𢀨,họ hồ bèn vội vàng khép nép sửa sang
昌枯散涅丕,xương khô tan nát vậy
仍𠊛司戲𬑉𧐖󰜩辰儖刼𡛔奔𫯳𠊛,"những người ti hí mắt lươn. trai thì trộm cướp, gái buôn chồng người"
結共國鎮家奴󰑼繩陳御𠳚朱斤鐄,kết cùng quốc trấn gia nô. là thằng trần ngự gửi cho cân vàng
又分命太尉阮有僚總督水軍進至青林𭁈廷爱相為表裏救援官軍在錦江,"hựu phân mệnh thái uý nguyễn hữu liêu tổng đốc thuỷ quân tiến chí thanh lâm, dữ đình ái tương vi biểu lí cứu viện quan quân tại cẩm giàng"
蔠荄你唐名利,chông gai né đường danh lợi
庒如種𪂱故夷咹𣎀,chẳng như giống vạc cớ gì ăn đêm
󰇾金珠買巾紅𢭂𢬣,giở kim châu với khăn hồng trao tay
上皇曰我與蓬莪相持久矣,thượng hoàng viết ngã dữ bồng nga tương trì cửu hĩ
硍󰞺默油𢬣几揑仍㛪沕與𬌓𢚸𣘈,rắn nát mặc dầu tay kẻ nặn. nhưng em vẫn giữ tấm lòng son
二十五日五道各衛軍將校陞除自衛同知管領下至隊長八百五十一員在内任陞充及御前各軍選授者五百九十六員有事輕赦録用者二百五十五員,"nhị thập ngũ nhật, ngũ đạo các vệ quân tướng hiệu thăng trừ tự vệ đồng tri quản lĩnh hạ chí đội trưởng bát bách ngũ thập nhất viên, tại nội nhậm thăng sung cập ngự tiền các quân tuyển thụ giả ngũ bách cửu thập lục viên hữu sự khinh xá lục dụng giả nhị bách ngũ thập ngũ viên"
使人追之不及〇,"sử nhân truy chi, bất cập"
𡗶高𣷭𢌌包󰑼役夷麻𫽄沛󰑼役些,trời cao bể rộng bao la. việc gì mà chẳng phải là việc ta
帝命翊聖王帥師討之斬首萬計俘獲士卒馬疋不可勝數,"đế mệnh dực thánh vương soái sư thảo chi, trảm thủ vạn kế, phu hoạch sĩ tốt mã sơ bất khả thắng số"
𡗶弄弄咍𢚸聖𩙍熙熙恰𨷈民,trời lộng lộng hay lòng thánh. gió hây hây khắp muôn dân
𣖖鯨小底㤝空𢶸,chầy kình tiểu để xuông không đấm
不許〇,bất hứa
特𢚸𠊛丕喂秩𢚸𠊛丕喂,được lòng người vậy ôi mất lòng người vậy ôi
曰半𦁼税吏學路,"viết bán may thuê, lại học trò"
及廷試賜阮文奎進士出身阮,"cập đình thí, tứ nguyễn văn khuê tiến sĩ xuất thân, nguyễn"
自意天下紛紜,từ ấy thiên hạ phân vân
䏾斜如逐干盆,bóng tà như giục cơn buồn
官設與前頗增禄費與前将准,"quan thiết dữ tiền pha tăng, lộc phí dữ tiền tương chuẩn"
𦹵𣘃蔓漠渃𡽫󱨹𨓡,"cỏ cây man mác, nước non lạ lùng"
黎文休曰帝堯帝舜文王武王皆以一字為號未當有增其尊號也,"lê văn hưu viết đế nghiêu, đế thuấn, văn vương, võ vương, giai dĩ nhất tự vi hiệu, vị đương hữu tăng kì tôn hiệu dã"
戊子十一年,"mậu tí, thập nhất niên mạc hưng trị nguyên niên. nhị minh vạn lịch thập lục niên"
夏五月大旱,"hạ, ngũ nguyệt, đại hạn"
故易象深懲於滯獄書經務要於蔽囚,"cố dịch tượng thâm trừng ư trệ ngục, thư kinh vụ yếu ư tế tù"
帝先幸安生謁諸陵與之俱至大吏鄕行在號葆清宫,"đế tiên hạnh yên sinh yết chư lăng dữ chi cụ, chí đại lại hương hành tại hiệu bảo thanh cung"
𡥵住𡥵博寔󰑼英㛪,con chú con bác thực là anh em
調排各𭛣󰠡𮥷冲𨉓,đều bày các việc gian nan trong mình
自春至夏旱帝親祈之,"tự xuân chí hạ, hạn, đế thân kì chi"
過朝𢧚㐌󱋓𠴔燕󰢒,quá chiều nên đã chán chường yến anh
雪趙宋和戎之耻弘天地生物以為心復齊襄死國之讐法春秋行師而仗󰒂,"tuyết triệu tống hoà nhung chi xỉ, hoằng thiên địa sinh vật dĩ vi tâm phục tề tương tử quốc chi thù, pháp xuân thu hành sư nhi trượng nghĩa"
再伐盆蛮,tái phạt bồn man
其雲南兵爲我軍楚扼於梨花自恫疑虚喝而先已破膽,"kì vân nam binh vị ngã quân sở ách ư lê hoa, tự động nghi hư hát nhi tiên dĩ phá đảm"
盆䀡渃奴𡽫尼,buồn xem nước nọ non này
𡴯𡗶𩄓䏾旌旗干戈論老城池鋒,ngất trời rợp bóng tinh kỳ. can qua lộn lạo thành trì chiến phong
孝情固󰠋𠄩皮院𠄩,hiếu tình có nhẽ hai bề vẹn hai
按宋如洪來我潮陽,án tống như hồng lai ngã triều dương
是歲斷天下死囚三百二十三人,"thị tuế, đoạn thiên hạ tử tù tam bách nhị thập tam nhân"
蔀伴朱咍湼實時,bầu bạn cho hay nết thật thà
香鵉擬𢢆俸俄,hương loan nghĩ thẹn bóng nga
𤯩𣩂疾,sống chết tật
或有增加大羅城外四城門四廂軍輪守〇,hoặc hữu tăng gia đại la thành ngoại tứ thành môn tứ sương quân luân thủ
苔㙴永永𦎛娥,đầy thềm vạnh vạnh gương nga
况時亨邪誕小人於太祖時妄言折順天二字以見廢黜,"huống thì hanh tà đản tiểu nhân ư thái tổ thời, vọng ngôn triết thuận thiên nhị tự dĩ kiến phế truất"
帝以西興侯何壽禄代守其地,đế dĩ tây hưng hầu hà thọ lộc đại thủ kì địa
月娥奔㗂哭払,nguyệt nga bôn tiếng khóc chàng
駭餒昆旦長成,hãy nuôi con đến trưởng thành
没𠳒呐渚及踈丿兜陣󰊄捲旗典𣦍,một lời nói chửa kịp thưa. phút đâu trận gió cuốn cờ đến ngay
天下定矣,thiên hạ định hĩ
昆桃卞敲𬰢儈頭,con đào bèn xịu mặt cúi đầu
眉𫎑𧒌眉𫎑蓍恬卦意拯固𠅜醜,"mày bói rùa, mày bói thi. điềm quẻ ấy chẳng có lời xấu"
追尊考妣以上謚號,truy tôn khảo tỉ dĩ thượng thuỵ hiệu
𡎥𥪝󰘂𬃈槧𧏵,ngồi trong cửa sổ chạm rồng
壬午三年,nhâm ngọ tam niên minh thiên thuận lục niên
九日節制鄭松督,"cửu nhật, tiết chế trịnh tùng đốc"
𠬠𠇮𥄮陣衝無,một mình nhằm trận xông vô
公鄭根典司政本講求治理深知夫史乃正當時之名分示來世之勸懲,"công trịnh căn điển tư chính bản, giảng cầu trị lí, thâm tri phù, sử nãi chính đương thời chi danh phận, thị lai thế chi khuyến trừng"
𡥵鶯𭓇呐𨕭梗𠸍𠶣,con oanh học nói trên cành mỉa mai
𢶸劕,bằm xắt
,"duy quốc phụ dữ tảo cập gia nhi chủ đô lê chung dự yên, đãi tử cung quy sơn lăng tảo chung giai phụng thị"
娘户武拱動𫏙禮法䐗曾𥙩事腮𪾺体搮𢚸,"nàng họ vũ cũng động noi lễ phép, chưa từng lấy sự tai mắt thấy trật lòng"
艚迾𠫾,tàu lướt đi
蛆虶麻餒𡥵蝒𣈗𡢐奴眷饒𠫾,"tò vò mà nuôi con nhện, ngày sau nó quện nhau đi"
花𡖼朝清劍調唭,"hoa sánh chiều thanh, kém điệu cười"
并容受奸人出入妄抑民間田土濫取過多致小民失業,"tính dung thụ gian nhân, xuất nhập vọng ức dân gian, điền thổ lạm thủ quá đa, trí tiểu dân thất nghiệp"
󰬜是非稽聲色碍制排淡柳塘花,"lánh thị phi, ghê thanh sắc, ngại chơi bời dặm liễu đường hoa"
赤虱步臘灰世,xích sắt bọ rệp hôi thay
挨𨕭摱𠳨𦝄𫅷,ai lên mượn hỏi trăng già
虎登樓便蒼黃號啸之聲跳下無擊攫之患,"hổ đăng lâu tiện thương hoàng hiệu khiếu chi thanh, khiêu hạ vô kích quắc chi hoạn"
𡞕師懺所朱師襖顛長𤽸帽盧齊𥯰底師暢怯兵兵,"vợ sư sắm sửa cho sư. áo đen tràng trắng, mũ lư tày giành. để sư sướng kiếp bành banh"
𪽝英斟役農功朱𢧚買固蒲󰮂甓外,bởi anh chăm việc nông công. cho nên mới có bồ trong bịch ngoài
是日莫兵横屍相枕填委满壑血流漂杵,"thị nhật, mạc binh hoành thi tương chấm, điền uỷ mãn hác, huyết lưu phiêu chử"
色襜花戞曰󰖀鳳絩,"sắc xiêm hoa giát, vết giày phượng thêu"
𢚸芇群想固𣈙女空,lòng nào còn tưởng có rày nữa không?
又使,hựu sử
昹茹󰝸便𡎢佳,vắng nhà chẳng tiện ngồi dai
䟢𨀤𨀤囉𨀤𨖲,nhảy trồi. trồi ra. trồi lên
𤾓調昂󰏟爲碎,trăm điều ngang ngửa vì tôi
𮗓緣𦖑呐𢜠𢚸,giác duyên nghe nói mừng lòng
冘各類禽獸𧀦𥡗𨖅邊意底𦓡濫咹,đem các loại cầm thú lúa má sang bên ấy để mà làm ăn
儂智髙以勿惡洞叛,nùng trí cao dĩ vật ác động phản
体牢台丕渚哺哙姨,"thấy sao hay vậy, chớ phô hỏi gì"
矣,hĩ
耒碎仕救娘𨖲𣦍朱脱,rồi tôi sẽ cứu nàng lên ngay cho thoát
枯考四時󱖮畐餅枯,khô khảo tứ thời vuông vức bánh khô
楚子殺之雖過然楚日以強威令行也,"sở tử sát chi tuy quá, nhiên sở nhật dĩ cường uy lệnh hành dã"
速曳爫丙貝掄,tóc dài làm biếng búi lọn
遣梭𥙩種紅綾暖扇洒𥙩方火𥭼神丹,"khiến xoa lấy giống hồng lăng noãn phiến, rảy lấy phương hoả lục thần đan"
𫢧翁濃浽汫台𫢧󰜏溇色如𬂻橙𦺓,liền ông nông nổi giếng thơi. liền bà sâu sắc như cơi đựng trầu
造制𡎝𫢋岸仙吝旦沔𡽫渃和安,dạo chơi cõi phật ngàn tiên. lẩn thẩn đến miền non nước hoà an
𧵆賖奴𠽋燕鸚,gần xa nô nức yến anh
朱𢧚佊𠁑立坛𩄲𩄎,cho nên bề dưới lập đàn mây mưa
傷饒吀𢖵𠳒饒𢆥迡拱𫽄𠫾󰠳麻迡,thương nhau xin nhớ lời nhau. năm chầy cũng chẳng đi đâu mà chầy
自為前隊諸水軍隨後陸續󰱥進,"tự vi tiền đội, chư thuỷ quân tuỳ hậu lục tục kế tiến"
游兵至太祖津今復古是帝移舶過東岸江避之,"du binh chí thái tổ tân kim phục cổ thị, đế di bách quá đông ngạn giang tị chi"
𦊚娘預宴殿𥪝恩𤤰澮渗㗂𫯳𦹳淶,bốn nàng dự yến điện trong. ơn vua gội tắm tiếng chồng thơm lây
三月考積居職勤敏才幹不通文字爲一𩔗有文字才幹爲一𩔗年高行純洞識古今爲一𩔗以次授職使之治民管軍以𦤶官無濫冗,"tam nguyệt, khảo tích cư chức cần mẫn tài cán bất thông văn tự vi nhất loại, hữu văn tự tài cán vi nhất loại, niên cao hạnh thuần, động thức cổ kim vi nhất loại, dĩ thứ thụ chức sử chi trị dân quản quân, dĩ trí quan vô lạm nhũng"
倪曳庄咍谷,nghê dại chẳng hay cốc
補𩛷咹職𦣰欣𣎃,bỏ bữa ăn giấc nằm hơn tháng
丐𢮿捧産𨕭𡗶𥊚𥊚人影如𠊛𠫾𡖵,cái quay búng sẵn trên trời. mờ mờ nhân ảnh như người đi đêm
几沛劫扒拯計於𥪞數意,kẻ phải cướp bắt chẳng kể ở trong số ấy
夏四月以佐天大王德曄權相國事閲兵,hạ tứ nguyệt dĩ tá thiên đại vương đức việp quyền tướng quốc sự duyệt binh
几函𠊚匼質唐,"kẻ hòm, người tráp chật đường"
滝江蒸𨱽丕拯可𣳔𤿤丕,"sông giang chưng dài vậy, chẳng khả dùng bè vậy"
勑停砌宫城以屡奏不登米價騰踊故緩之,"sắc đình thế cung thành, dĩ lũ tấu bất đăng, mễ giá đằng dũng, cố hoãn chi"
帝聞嘉不聽命王及太后孤弱不能制使者怯無决又以為王及太后已内附獨吕嘉為乱不足以興兵欲使荘參以二千往使,"đế văn gia bất thính mệnh, vương cập thái hậu cô nhược bất năng chế, sứ giả khiếp vô quyết, hựu dĩ vi vương cập thái hậu dĩ nội phụ, độc lữ gia vi loạn, bất túc dĩ hưng binh, dục sử trang sâm dĩ nhị thiên vãng sứ"
𪂲掑扒𠬠添𠄩,cò kè bớt một thêm hai
上皇曰先帝有命不敢違如有損害于自當之,thượng hoàng viết tiên đế hữu mệnh bất cảm vi như hữu tổn hại vu tự đương chi
𣈗務𣳇豆𢲣芌𣈗𠀧𣎃𫤯買𡎥麻咹,ngày mùa tỉa đậu trồng khoai. ngày ba tháng tám mới ngồi mà ăn
劉禹你献白鹿又献檳榔珠,lưu vũ nhĩ hiến bạch lộc hựu hiến tân lang châu
󰕛孫沼悶祖先蔑𣳔,chúng tôn cháu mọn tổ tiên một dòng
二月幸西京,"nhị nguyệt, hạnh tây kinh"
内官曰帝謂觀日曆向者有過得以悛改耳,nội quan viết đế vị quan nhật lịch hướng giả hữu quá đắc dĩ thuân cải nhĩ
𡛤𢆥香焒登燶丈夫卒㐌動𢚸𦊚方,nửa năm hương lửa đang nồng. trượng phu thoắt đã động lòng bốn phương
諸𠕋父老轉相吿曰此兒噐量若是必能濟事我背荀不來附異日悔之晚矣,"chư sách phụ lão chuyển tương cáo viết thử nhi khí lượng nhược thị tất năng tế sự, ngã bội tuân bất lai phụ dị, nhật hối chi vãn hĩ"
隊番𣳮𣳮曷湄󱢐,đòi phen rả rả hạt mưa bay
過𨔈吏﨤囘顛悁𠿃吏劍咹沔月花,quá chơi lại gặp hồi đen. quen mồi lại kiếm ăn miền nguyệt hoa
半𤞻奔鬼聀𠓨𦝄󰠲,bán hùm buôn quỷ chắc vào lưng đâu?
課臨行鶯𣗓𥾽柳,thuở lâm hành oanh chưa bện liễu
世𫢩麻吏𫬠󰜏曲浽,thế này mà lại lỡm bà khúc nhôi
梅骨格雪精神,mai cốt cách tuyết tinh thần
󱙹車雷呂嘆𠳐𠳒娘買𨀈𠓨羡尼,trước xe lơi lả han chào. vâng lời nàng mới bước vào tận nơi
時莫又議起兵使莫󰦛讓統督衛士及四鎮兵刻日齊進至安謨界期𭁈官兵會戦,"thời, mạc hựu nghị khởi binh, sử mạc đôn nhượng thống đốc vệ sĩ cập tứ trấn binh, khắc nhật tề tiến chí yên mô giới, kì dữ quan binh hội chiến"
没梗椥𠄼𦒹梗椥𢢲緣辰𥙩渚𦖑户行,"một cành tre, năm sáu cành tre. đẹp duyên thì lấy chớ nghe họ hàng"
以盆忙頭目,dĩ bồn mường đầu mục
締鉢,rế bát
易如觧籜有若摧枯,"dị như giải thác, hữu nhược thôi khô"
差行布役𠊛些𢢲𢚸,sai hành bố việc người ta đẹp lòng
虐吹昂育𥪝行陣𡁿嚓𠚢𠓨𫏾𪖬𥏍,ngược xuôi ngang dọc trong hàng trận. xô xát ra vào trước mũi tên
𨁪車𨒺泣江山政刑磊節遊觀過常,"dấu xe quanh khắp giang sơn. chính hình lỗi tiết, du quan quá thường"
𦀊𠀧𦃐,dây ba tao
女尼奇遇倍移蹎𠫾,nhớ nơi kỳ ngộ vội dời chân đi
𧊉浪咳客婵娟,bướm rằng hỡi khách thuyền quyên
户部左侍郎李秀蠲卒,hộ bộ tả thị lang lí tú quyền tốt
名㗂強𤊪撩𦎛,danh tiếng càng rỡ treo gương
𠓹𣈜𡖼娘塢紅杏𥈶春善典霑少年,trọn ngày sánh nương ổ hồng hạnh. nom xuân thẹn đến chòm thiếu niên
十一月十六日立皇子󰘊基為皇太子,"thập nhất nguyệt, thập lục nhật, lập hoàng tử bang cơ vi hoàng thái tử"
十一月明遣正使行人司行人程璥來致祭,thập nhất nguyệt minh khiển chánh sứ hành nhân ti hành nhân trình cảnh lai trí tế
胋催几咏𠊚啌花鮮湼筆玉󱪼𠳒騷,"đêm thôi kẻ vịnh người khong. hoa tươi nét bút, ngọc ròng lời tao"
函犀戦士淹江上服豸中臣死道傍,"hàm tê chiến sĩ yêm giang thượng, phục trãi trung thần tử đạo bàng"
󰅹斉律𦖻胡拱𤶑眉淶珠,lọt tai hồ cũng nhăn mày rơi châu
撞叔箕丕撞伯箕丕眉倡些和蹺眉,"chàng thúc kia vậy, chàng bá kia vậy. mày xướng ta họa theo mày"
丙辰六年宋寶祐四年春二月大比取士,"bính thìn lục niên, tống bảo hựu tứ niên xuân nhị nguyệt, đại tỉ thủ sĩ"
斬馘及溺死者以萬計,trảm quắc cập nịch tử giả dĩ vạn kể
君娶帝來女曰嫗姬生百男俗傳生百卵是爲百粤之祖,"quân thú đế lai nữ viết âu cơ, sinh bách nam, tục truyền sinh bách noãn thị vi bách việt chi tổ"
色身孛時卒卋,sắc thân bụt thời tốt thay
胡亥𠱋亥宁𣳔都制,hò hỡi dô hỡi giữa dòng đua chơi
汫,giếng đào mà uống
扒怒哭𠯽大行󱙻吒,bắt nó khóc chửi đại hành tên cha
