Codepoint,Character,kDefinition
U+93CA,鏊,"a flat, iron cooking-plate for cakes"
U+93CC,鏌,sword
U+93D0,鏐,pure gold
U+93D1,鏑,"dysprosium (element 66, Dy); the barb of an arrow; the head of a javelin"
U+93D6,鏖,"to fight to the end, engage in a fierce battle"
U+93D7,鏗,"strike, beat, stroke; jingling"
U+93D8,鏘,"tinkle, clang, jingle"
U+93DA,鏚,axe
U+93DB,鏛,to polish; iron rim on a wagon wheel
U+93DC,鏜,boring tool
U+93DD,鏝,trowel
U+93DE,鏞,a large bell used as a musical instrument
U+93DF,鏟,"spade, shovel, trowel, scoop"
U+93E1,鏡,mirror; lens; glass; glasses
U+93E2,鏢,"dart, spear, harpoon; escort"
U+93E4,鏤,"carve, inlay, engrave, tattoo"
U+93E5,鏥,"rust, corrosion"
U+93E6,鏦,a short spear
U+93E8,鏨,"engraving tool, chisel"
U+93F0,鏰,"coin, money"
U+93F4,鏴,to plug a hole
U+93F5,鏵,"spade, shovel, plowshare"
U+93F7,鏷,"protactinium (element 91, Pa)"
U+93F9,鏹,"coins, money, wealth; (Cant.) 鏹水, sulfuric acid"
U+93FA,鏺,to cut with a sickle
U+93FB,鏻,phosphonium
U+93FD,鏽,"rust, corrode"
U+93FE,鏾,the trigger of a crossbow; crossbow
U+9400,鐀,a cupboard; a press; a wardrobe shop-counter
U+9403,鐃,cymbals; hand bell; disturb
U+9404,鐄,bell
U+9406,鐆,a lens
U+9407,鐇,"vanadium (element 23, V)"
U+940B,鐋,gong
U+940D,鐍,hasp of a lock
U+940F,鐏,cap
U+9410,鐐,fetters
U+9412,鐒,"lawrencium (element 103, Lr)"
U+9413,鐓,ferrule; castrate
U+9414,鐔,dagger; small sword
U+9416,鐖,"hook, barb, catch, spring"
U+9418,鐘,clock; bell
U+9419,鐙,lamp; a kind of cooking vessel
U+941A,鐚,soft steel; ammonium
U+941D,鐝,"a pick, a hoe"
U+9420,鐠,"praseodymium (element 59, Pr)"
U+9421,鐡,"iron; strong, solid, firm"
U+9424,鐤,huge tripod of bronze with two ears; sacrificial vessel
U+9425,鐥,to swing a sickle to cut (grass or wheat)
U+9426,鐦,"californium (element 98, Cf)"
U+9427,鐧,kind of rapier
U+9428,鐨,"fermium (element 100, Fm)"
U+9429,鐩,lens
U+942B,鐫,"engraving tool; carve, engrave"
U+942E,鐮,sickle
U+942F,鐯,to dig with a hoe; a large hoe
U+9432,鐲,"bracelet, armband; small bell"
U+9433,鐳,"radium (element 88, Ra)"
U+9435,鐵,"iron (element 26, Fe); strong, solid, firm"
U+9436,鐶,metal ring; measure of currency
U+9438,鐸,bell; surname
U+943A,鐺,frying pan; warming vessel
U+943B,鐻,drumstick
U+943E,鐾,"to strop, to sharpen by rubbing against leather, stone, etc."
U+943F,鐿,"ytterbium (element 70, Yb)"
U+9440,鑀,ionium
U+9444,鑄,"melt, cast; coin, mint"
U+9448,鑈,straight; a seal
U+944A,鑊,"cauldron, large iron pot; a wok"
U+944C,鑌,high quality iron
U+9450,鑐,bolt of a Chinese lock
U+9451,鑑,"mirror, looking glass; reflect"
U+9452,鑒,"mirror, looking glass; reflect"
U+9453,鑓,"spear, lance, javelin"
U+9454,鑔,cymbals
U+9455,鑕,"chopping block, executioner's block"
U+945A,鑚,"drill, bore; pierce; diamond"
U+945B,鑛,"mine; mineral, ore"
U+945E,鑞,solder; tin
U+9460,鑠,"melt, smelt; shine"
U+9462,鑢,"file, rasp; file; polish; (Cant.) to cut"
U+9463,鑣,"bit, bridle; ride"
U+9464,鑤,carpenter's plane
U+9465,鑥,"lutetium (element 71, Lu)"
U+946A,鑪,"fireplace, stove, oven, furnace"
U+946B,鑫,used in names
U+946D,鑭,"lanthanum (element 57, La)"
U+9470,鑰,key; lock
U+9471,鑱,"spade, trowel"
U+9472,鑲,"insert, inlay, set, mount; fill"
U+9474,鑴,"to engrave or carve, as a block for printing"
U+9475,鑵,jar; can
U+9477,鑷,"tweezers, forceps, pincers"
U+9479,鑹,"pick, poker"
U+947C,鑼,gong
U+947D,鑽,"drill, bore; pierce; diamond"
U+947E,鑾,small tinkling bell; bells hung on horse
U+947F,鑿,"chisel; bore, pierce"
U+9481,钁,a mattock; a billhook
U+9482,钂,an ancient weapon resembling a pitchfork
U+9485,钅,gold; money; Kangxi radical 167
U+9486,钆,"gadolinium (element 64, Gd)"
U+9487,钇,"yttrium (element 39, Y)"
U+9488,针,needle; pin; tack; acupuncture
U+9489,钉,"nail, spike; pursue closely"
U+948A,钊,"endeavor, strive; encourage; cut"
U+948B,钋,"polonium (element 84, Po)"
U+948C,钌,"ruthenium (element 44, Ru)"
U+948D,钍,"thorium (element 90, Th)"
U+948E,钎,tool for boring holes
U+948F,钏,"bracelet, armlet"
U+9490,钐,"samarium (element 62, Sm); to swing a sickle to cut (grass or wheat)"
U+9491,钑,spear
U+9492,钒,"vanadium (element 23, V)"
U+9493,钓,"fish; fishhook; tempt, lure"
U+9494,钔,mendelevium (Md)
U+9495,钕,"neodymium (element 60, Nd)"
U+9496,钖,frontlet
U+9497,钗,ornamental hairpin
U+9498,钘,ancient wine vessel
U+9499,钙,"calcium (element 20, Ca)"
U+949A,钚,"plutonium (element 94, Pu)"
U+949B,钛,"titanium (element 22, Ti)"
U+949C,钜,"steel, iron; great"
U+949D,钝,"blunt, obtuse; dull; flat; dull-witted"
U+949E,钞,"paper money, bank notes; copy"
U+949F,钟,clock; bell
U+94A0,钠,"sodium, natrium; sharpen wood"
U+94A1,钡,"barium (element 56, Ba)"
U+94A2,钢,"steel; hard, strong, tough"
U+94A3,钣,plate
U+94A4,钤,"lock, latch; stamp, seal"
U+94A5,钥,key; lock
U+94A6,钦,"respect, admire; respectful"
U+94A7,钧,unit of measure equivalent to thirty catties
U+94A8,钨,tungsten (W)
U+94A9,钩,"hook, barb; sickle; stroke with"
U+94AA,钪,"scandium (element 21, Sc)"
U+94AB,钫,"francium (element 87, Fr)"
U+94AC,钬,"holmium (element 67, Ho)"
U+94AD,钭,a wine flagon
U+94AE,钮,"button, knob; surname"
U+94AF,钯,"palladium (element 46, Pd)"
U+94B0,钰,rare treasure
U+94B1,钱,"money, currency, coins"
U+94B2,钲,kind of gong used in ancient times by troops on the march
U+94B3,钳,"pincers, pliers, tongs; to compress"
U+94B4,钴,cobalt; household iron
U+94B5,钵,earthenware basin; alms bowl
U+94B6,钶,columbium
U+94B7,钷,"promethium (element 61, Pm)"
U+94B8,钸,"plutonium (element 94, Pu)"
U+94B9,钹,cymbals
U+94BA,钺,"broad-axe, a battle axe, halberd"
U+94BB,钻,"drill, bore; pierce; diamond"
U+94BC,钼,"molybdenum (element 42, Mo)"
U+94BD,钽,"tantalum (element 73, Ta)"
U+94BE,钾,"potassium (element 19, K)"
U+94BF,钿,"hairpin; gold inlaid work, filigree"
U+94C0,铀,"uranium (element 92, U)"
U+94C1,铁,"iron; strong, solid, firm"
U+94C2,铂,platinum; thin sheet of metal
U+94C3,铃,bell
U+94C4,铄,"melt, smelt; shine"
U+94C5,铅,"lead (element 82, Pb)"
U+94C6,铆,rivet
U+94C7,铇,carpenter's plane
U+94C8,铈,"cerium (element 58, Ce)"
U+94C9,铉,device for carrying a tripod
U+94CA,铊,"thallium (element 81, Tl)"
U+94CB,铋,"bismuth (element 83, Bi)"
U+94CC,铌,"niobium (element 41, Nb)"
U+94CD,铍,"beryllium (element 4, Be)"
U+94CE,铎,bell; surname
U+94CF,铏,sacrificial cauldron
U+94D0,铐,"shackles, manacles"
U+94D1,铑,"rhodium (element 45, Rh)"
U+94D2,铒,"erbium (element 68, Er)"
U+94D3,铓,point of sword; sharp point
U+94D4,铔,soft steel; ammonium
U+94D5,铕,"europium (element 63, Eu)"
U+94D6,铖,person's name
U+94D7,铗,"tongs, pincers; dagger; sword"
U+94D8,铘,sword
U+94D9,铙,cymbals; hand bell; disturb
U+94DA,铚,a sickle
U+94DB,铛,frying pan; warming vessel
U+94DC,铜,"copper, brass, bronze"
U+94DE,铞,hasp and staple
U+94DF,铟,"indium (element 49, In)"
U+94E0,铠,"armor, chain mail"
U+94E1,铡,sickle for cutting grass or hay
U+94E2,铢,"unit of weight, one twenty-fourth of a Chinese ounce (liang)"
U+94E3,铣,mill
U+94E4,铤,"ingots, bars of metal; hurry"
U+94E5,铥,"thulium (element 69, Tm)"
U+94E6,铦,"sharp, keen-edged; a kind of hoe"
U+94E7,铧,"spade, shovel, plowshare"
U+94E8,铨,"weigh, measure; select officials"
U+94E9,铩,moult
U+94EA,铪,"hafnium (element 72, Hf)"
U+94EB,铫,large hoe; surname; a spear
U+94EC,铬,"chromium (element 24, Cr)"
U+94ED,铭,"inscribe, engrave"
U+94EE,铮,clanging sound; small gong
U+94EF,铯,cesium
U+94F0,铰,"hinge; shears, scissors"
U+94F1,铱,"iridium (element 77, Ir)"
U+94F2,铲,"spade, shovel, trowel, scoop"
U+94F3,铳,"ancient weapon, blunderbuss"
U+94F4,铴,gong
U+94F5,铵,ammonium
U+94F6,银,"silver; cash, money, wealth"
U+94F7,铷,"rubidium (element 37, Rb)"
U+94F8,铸,"melt, cast; coin, mint"
U+94F9,铹,"lawrencium (element 103, Lr)"
U+94FA,铺,"shop, store; place sleep, bed"
U+94FB,铻,misfit; discordant; music instrument; hoe
U+94FC,铼,"rhenium (element 75, Re)"
U+94FD,铽,"terbium (element 65, Tb)"
U+94FE,链,"chain, wire, cable; chain, shack"
U+94FF,铿,"strike, beat, stroke; jingling"
U+9500,销,"melt, fuse; market, sell"
U+9501,锁,"lock, padlock; shackles, chains"
U+9502,锂,"lithium (element 3, Li)"
U+9503,锃,polish
U+9504,锄,hoe; eradicate
U+9505,锅,"cooking-pot, saucepan"
U+9506,锆,"zirconium (element 40, Zr)"
U+9507,锇,"osmium (element 76, Os)"
U+9508,锈,"rust, corrode"
U+9509,锉,"carpenter's file, file smooth"
U+950A,锊,ancient unit of measure equal to 6 taels (about 300 grams)
U+950B,锋,"point of spear, sharp point"
U+950C,锌,"zinc (element 30, Zn)"
U+950D,锍,"matte, a crude mixture of sulfides formed in smelting sulfide ores"
U+950E,锎,"caesium/cesium (element 55, Cs)"
U+950F,锏,kind of rapier
U+9510,锐,"sharp, keen, acute, pointed"
U+9511,锑,"antimony (element 51, Sb)"
U+9512,锒,lock
U+9513,锓,carve
U+9514,锔,"curium (element 96, Cm)"
U+9515,锕,actinium (Ac)
U+9516,锖,the color of the a mineral
U+9517,锗,"germanium (element 32, Ge)"
U+9518,锘,nobelium (No)
U+9519,错,"error, blunder, mistake; wrong"
U+951A,锚,anchor
U+951B,锛,adze
U+951C,锜,a kind of pen; a kind of chisel
U+951D,锝,"technetium (element 43, Tc)"
U+951E,锞,ingot; acrobatic move
U+951F,锟,ancient treasured sword
U+9520,锠,vessel
U+9521,锡,"tin, stannum; bestow, confer"
U+9522,锢,run metal into cracks; confine
U+9523,锣,gong
U+9524,锤,balance weight on scale; hammer
U+9525,锥,"gimlet, awl, drill, auger; bore"
U+9526,锦,"brocade, tapestry; embroidered"
U+9527,锧,"chopping block, executioner's block"
U+9528,锨,shovel
U+9529,锩,to bend iron
U+952A,锪,a kind of tool
U+952B,锫,"berkelium (element 97, Bk)"
U+952C,锬,long spear
U+952D,锭,"spindle, slab, cake, tablet"
U+952E,键,"door bolt, lock bolt; key"
U+952F,锯,a saw; to saw; amputate
U+9530,锰,"manganese (element 25, Mn)"
U+9531,锱,an ancient unit of weight (one-eighth of a tael)
U+9532,锲,"sickle; cut, carve, engrave"
U+9534,锴,high quality iron
U+9535,锵,"tinkle, clang, jingle"
U+9536,锶,"strontium (element 38, Sr)"
U+9537,锷,"high, lofty; edge of knife"
U+9538,锸,"spade, shovel; marking pin"
U+9539,锹,shovel
U+953A,锺,"cup, glass, goblet; surname"
U+953B,锻,"forge metal; temper, refine"
U+953C,锼,to engrave (metal or wood)
U+953D,锽,weapon
U+953E,锾,"measure; money, coins"
U+953F,锿,"einsteinium (element 99, Es)"
U+9540,镀,"plate, coat, gild"
U+9541,镁,"magnesium (element 12, Mg)"
U+9542,镂,"carve, inlay, engrave, tattoo"
U+9543,镃,hoe; mattock
U+9544,镄,"fermium (element 100, Fm)"
U+9545,镅,"americium (element 95, Am)"
U+9546,镆,sword
U+9547,镇,"town, market place; suppress"
U+9548,镈,"large bell; hoe, spade"
U+9549,镉,"cadmium (element 48, Cd)"
U+954A,镊,"tweezers, forceps, pincers"
U+954B,镋,ancient weapon resembling a pitchfork
U+954C,镌,"engraving tool; carve, engrave"
U+954D,镍,"nickel (element 28, Ni)"
U+954E,镎,"(SC) neptunium (element 93, Np)"
U+954F,镏,distil; lutetium; surname
U+9550,镐,stove; bright
U+9551,镑,pound sterling
U+9552,镒,measure of weight for gold
U+9553,镓,"gallium (element 31, Ga)"
U+9554,镔,high quality iron
U+9555,镕,"fuse, melt, smelt; mold"
U+9556,镖,"dart, spear, harpoon; escort"
U+9557,镗,boring tool
U+9558,镘,trowel
U+955A,镚,small coin
U+955B,镛,large bell used as musical instrument
U+955C,镜,mirror; lens; glass; glasses
U+955D,镝,"dysprosium (element 66, Dy)"
U+955E,镞,"arrowhead, barb; swift, quick"
U+955F,镟,lathe
U+9560,镠,pure gold
U+9561,镡,dagger; small sword
U+9562,镢,hoe
U+9563,镣,fetters
U+9564,镤,protactinium (Pa)
U+9565,镥,"lutetium (element 71, Lu)"
U+9566,镦,ferrule; castrate
U+9567,镧,"lanthanum (element 57, La)"
U+9568,镨,"praseodymium (element 59, Pr)"
U+9569,镩,"pick, poker"
U+956A,镪,"coins, money, wealth"
U+956B,镫,lamp; a kind of cooking vessel
U+956C,镬,"cauldron, large iron pot"
U+956D,镭,"radium (element 88, Ra)"
U+956E,镮,metal ring; measure of currency
U+956F,镯,"bracelet, armband; small bell"
U+9570,镰,sickle
U+9571,镱,"ytterbium (element 70, Yb)"
U+9572,镲,cymbals
U+9573,镳,"bit, bridle; ride"
U+9574,镴,solder; tin
U+9575,镵,"spade, trowel"
U+9576,镶,"insert, inlay, set, mount; fill"
U+9577,長,long; length; excel in; leader; Kangxi radical 168
U+9578,镸,long
U+957F,长,long; length; excel in; leader
U+9580,門,"gate, door, entrance, opening; Kangxi radical 169"
U+9582,閂,"bolt, latch, crossbar"
U+9583,閃,"flash; avoid, dodge, evade"
U+9586,閆,village gate
U+9587,閇,"shut, close; obstruct, block up"
U+9588,閈,village
U+9589,閉,"shut, close; obstruct, block up"
U+958A,閊,"to be obstructed, blocked; to break down"
U+958B,開,"open; initiate, begin, start"
U+958C,閌,door
U+958E,閎,"gate, barrier; wide, vast, expand"
U+958F,閏,"intercalary; extra, surplus"
U+9591,閑,"fence, barrier; defend; idle time"
U+9592,閒,"leisure; idle; peaceful, tranquil, calm"
U+9593,間,"interval, space; place, between"
U+9594,閔,"mourn, grieve; urge on, incite"
U+9596,閖,"(J) flower name; a water-gate, sluice; toponym"
U+9598,閘,"sluice; flood gate, canal lock"
U+9599,閙,quarrel; dispute hotly
U+959F,閟,"hide, keep secret; hideaway"
U+95A0,閠,"intercalary; extra, surplus"
U+95A1,閡,blocked or separated; to prevent
U+95A2,関,frontier pass; close; relation
U+95A3,閣,"chamber, pavilion; cabinet"
U+95A4,閤,small side door; chamber
U+95A5,閥,powerful and influential group
U+95A6,閦,"crowd; transliteration of Sanskrit 'kso', e.g. 'aksobhya'"
U+95A7,閧,"boisterous; clamor, noise"
U+95A8,閨,small entrance; women's quarters
U+95A9,閩,Fujian province; a river; a tribe
U+95AA,閪,to lose lost item; (Cant.) vagina (vulg.)
U+95AB,閫,threshold; women's quarters
U+95AC,閬,"high door; high gate; high, lofty"
U+95AD,閭,village of twenty-five families
U+95B1,閱,"examine, inspect, review, read"
U+95B2,閲,examine
U+95B4,閴,quiet
U+95B6,閶,gate of heaven; main gate of palace
U+95B9,閹,castrate; eunuch
U+95BB,閻,village gate; surname
U+95BC,閼,"block, obstruct, stop up, conceal"
U+95BD,閽,"gatekeeper; gate, door"
U+95BE,閾,"threshold; separated, confined"
U+95BF,閿,name of a district in Henan province
U+95C3,闃,"alone; quiet, still"
U+95C6,闆,"boss, the owner, person in charge"
U+95C7,闇,"close, shut; dark, dismal"
U+95C8,闈,"gate, door; living quarters"
U+95C9,闉,"curved, bent; a curved wall"
U+95CA,闊,"broad, ample, wide; be apart"
U+95CB,闋,"close, shut; watch tower"
U+95CC,闌,door screen; railing fence
U+95CD,闍,tower over city gate
U+95D0,闐,a place in Xinjiang province
U+95D1,闑,the doorsill
U+95D2,闒,upper-story door or window
U+95D3,闓,open; peaceful
U+95D4,闔,"close; whole, entire; all; leaf"
U+95D5,闕,watch tower; palace
U+95D6,闖,"rush in, burst in, charge in"
U+95D7,闗,a frontier pass or gate to shut or close; a custom-house; suburbs of a city
U+95D8,闘,"struggle, fight, compete, contend"
U+95DA,闚,flash; flashing; steal look
U+95DC,關,frontier pass; close; relation
U+95DD,闝,"patronize prostitutes, frequent"
U+95DE,闞,"glance, peep; roar, growl"
U+95DF,闟,peacefully; quietly
U+95E0,闠,gate of a market
U+95E1,闡,"explain, clarify, elucidate"
U+95E2,闢,"open; settle, develop, open up"
U+95E4,闤,wall around market place
U+95E5,闥,door; gate
U+95E8,门,"gate, door, entrance, opening"
U+95E9,闩,"bolt, latch, crossbar"
U+95EA,闪,"flash; avoid, dodge, evade"
U+95EB,闫,village gate
U+95EC,闬,village
U+95ED,闭,"shut, close; obstruct, block up"
U+95EE,问,"ask about, inquire after"
U+95EF,闯,"rush in, burst in, charge in"
U+95F0,闰,"intercalary; extra, surplus"
U+95F1,闱,"gate, door; living quarters"
U+95F2,闲,"fence, guard; defend; idle time"
U+95F3,闳,"gate, barrier; wide, vast, expand"
U+95F4,间,"midpoint, space; place, locality"
U+95F5,闵,"mourn, grieve; urge on, incite"
U+95F6,闶,door
U+95F7,闷,"gloomy, depressed, melancholy"
U+95F8,闸,"sluice; flood gate, canal lock"
U+95F9,闹,quarrel; dispute hotly
U+95FA,闺,small entrance; women's quarters
U+95FB,闻,hear; smell; make known; news
U+95FC,闼,door; gate
U+95FD,闽,fujian province; a river; a tribe
U+95FE,闾,village of twenty-five families
U+95FF,闿,open; peaceful
U+9600,阀,powerful and influential group
U+9601,阁,"chamber, pavilion; cabinet"
U+9602,阂,blocked or separated; to prevent
U+9603,阃,threshold; women's quarters
U+9604,阄,lots (to be drawn); draw lots
U+9605,阅,"examine, inspect, review, read"
U+9606,阆,"high door; high gate; high, lofty"
U+9607,阇,a Buddhist high priest
U+9608,阈,"threshold; separated, confined"
U+9609,阉,castrate; eunuch
U+960A,阊,gate of heaven; main gate of a palace
U+960B,阋,"feud, fight, quarrel"
U+960C,阌,"wen xiang, Henan province"
U+960D,阍,"gatekeeper; gate, door"
U+960E,阎,village gate; surname
U+960F,阏,"block, obstruct, stop up"
U+9610,阐,"explain, clarify, elucidate"
U+9611,阑,door screen; railing fence
U+9612,阒,"alone; quiet, still"
U+9613,阓,gate of a market
U+9614,阔,"broad, ample, wide; be apart"
U+9615,阕,"close, shut; watch tower"
U+9616,阖,"close; whole, entire; all; leaf"
U+9617,阗,a place in Xinjiang province
U+9618,阘,upper-story door or window
U+9619,阙,watch tower; palace
U+961A,阚,"glance, peep; roar, growl"
U+961B,阛,wall around market place
U+961C,阜,"mound; abundant, ample, numerous; Kangxi radical 170"
U+961D,阝,place; Kangxi radical 170
U+961E,阞,vein
U+961F,队,"team, group; army unit"
U+9621,阡,footpaths between fields; paths
U+9622,阢,"the stump of a tree, hence, sterility; a square stool"
U+9624,阤,hill
U+9627,阧,"sloping, steep; suddenly, abruptly"
U+9628,阨,in distress; adverse; strategic; (Cant.) to swindle
U+962A,阪,hillside farmland; slope
U+962C,阬,"pit, hole, shaft"
U+962E,阮,ancient musical instrument: surname
U+962F,阯,foundation; site; address
U+9631,阱,"pitfall, trap, snare"
U+9632,防,defend; prevent; embankment
U+9633,阳,'male' principle; light; sun
U+9634,阴,'female' principle; dark; secret
U+9635,阵,"column, row or file of troops"
U+9636,阶,"stairs, steps; rank, degree"
U+9638,阸,distress; difficulty
U+9639,阹,a pen; to surround
U+963B,阻,"impede, hinder, obstruct; oppose"
